organism_category,window,exposure,n_hospitalizations,n_events,n_zctas,exposure_iqr,odds_ratio_per_iqr,ci_low,ci_high,p_value,fdr_p_value
klebsiella_pneumoniae,first_48h,no2_annual,3063,59,282,3.4095800703010006,1.5315378526110401,1.0517519007288416,2.230191542658473,0.026205603740258165,0.23585043366232347
haemophilus_influenzae,first_48h,no2_annual,3063,46,282,3.4095800703010006,1.3739621938516078,0.9279322619712188,2.0343856847086057,0.11262839132738585,0.5068277609732363
escherichia_coli,first_48h,no2_annual,3063,32,282,3.4095800703010006,1.2668250848559686,0.7711912588423975,2.0809958323818374,0.35031182055981624,0.9490297193079129
candida_albicans,first_48h,no2_annual,3063,78,282,3.4095800703010006,1.1378000882453376,0.8303700927752308,1.559050659549133,0.4217909863590724,0.9490297193079129
staphylococcus_aureus,first_48h,no2_annual,3063,240,282,3.4095800703010006,1.0377451028310565,0.8606814788714637,1.25123512575396,0.6978936019348543,0.9949292464040801
streptococcus_pneumoniae,first_48h,no2_annual,3063,50,282,3.4095800703010006,1.0350164598756935,0.7069940642780113,1.515230645263751,0.8595200196947501,0.9949292464040801
fungus_other,first_48h,no2_annual,3063,28,282,3.4095800703010006,1.0016944363072484,0.5942610715445927,1.6884695831091516,0.9949292464040801,0.9949292464040801
pseudomonas_aeruginosa,first_48h,no2_annual,3063,58,282,3.4095800703010006,1.0012209161665007,0.6895977343915016,1.4536638868946388,0.9948824741153032,0.9949292464040801
legionella_sp,first_48h,no2_annual,3063,87,282,3.4095800703010006,0.9408184330406753,0.7185418753893812,1.2318548915043406,0.6573098101529093,0.9949292464040801
pseudomonas_aeruginosa,first_48h,o3_annual,2610,52,254,2.0200906871490574,1.1878719940498892,0.7395774464693037,1.9079000867106968,0.4763778766746607,0.9583454881942507
legionella_sp,first_48h,o3_annual,2610,87,254,2.0200906871490574,1.0904445787715928,0.7064857378732473,1.6830762683926832,0.6957992992419055,0.9583454881942507
haemophilus_influenzae,first_48h,o3_annual,2610,35,254,2.0200906871490574,0.9821716144946115,0.500043726085712,1.9291534519795177,0.9583454881942507,0.9583454881942507
klebsiella_pneumoniae,first_48h,o3_annual,2610,55,254,2.0200906871490574,0.9492969037127263,0.5458579035195523,1.6509142866450957,0.8537764028056581,0.9583454881942507
staphylococcus_aureus,first_48h,o3_annual,2610,205,254,2.0200906871490574,0.9173804656847533,0.664586947189628,1.2663307974657574,0.6000588743539759,0.9583454881942507
candida_albicans,first_48h,o3_annual,2610,74,254,2.0200906871490574,0.9158782050665519,0.5636336196224582,1.4882591408898018,0.722768807532604,0.9583454881942507
streptococcus_pneumoniae,first_48h,o3_annual,2610,43,254,2.0200906871490574,0.863603048156772,0.4470565099691116,1.6682683467403219,0.6624580237760465,0.9583454881942507
escherichia_coli,first_48h,o3_annual,2610,30,254,2.0200906871490574,0.5761937330579926,0.23763677049199639,1.3970868958029663,0.22245825603013966,0.9583454881942507
fungus_other,first_48h,o3_annual,2610,23,254,2.0200906871490574,0.9997924721498704,NA,NA,NA,NA
klebsiella_pneumoniae,first_48h,pm25_annual,2610,55,254,1.1589907040630543,2.219163924276423,1.0168091694166908,4.843277058206566,0.04529950961203721,0.4076955865083349
escherichia_coli,first_48h,pm25_annual,2610,30,254,1.1589907040630543,1.8019231146081802,0.6880411122362314,4.719088515519474,0.2306070544864493,0.6918211634593479
pseudomonas_aeruginosa,first_48h,pm25_annual,2610,52,254,1.1589907040630543,0.6854244668470828,0.3735474644694021,1.257689435584672,0.22259385027063144,0.6918211634593479
streptococcus_pneumoniae,first_48h,pm25_annual,2610,43,254,1.1589907040630543,1.2520156145121188,0.5499179918178392,2.850503388333235,0.5923532566166625,0.8206522712713623
haemophilus_influenzae,first_48h,pm25_annual,2610,35,254,1.1589907040630543,1.2255090192596272,0.5083186460830778,2.9545883627515663,0.650600349096262,0.8206522712713623
staphylococcus_aureus,first_48h,pm25_annual,2610,205,254,1.1589907040630543,1.0680585585806088,0.7354157952876005,1.5511620662310805,0.7294686855745443,0.8206522712713623
candida_albicans,first_48h,pm25_annual,2610,74,254,1.1589907040630543,0.8618426656850136,0.46002661297700653,1.614630022355198,0.6425062613771144,0.8206522712713623
legionella_sp,first_48h,pm25_annual,2610,87,254,1.1589907040630543,0.8082785255825056,0.4759614709416467,1.3726198753552596,0.430826838882892,0.8206522712713623
fungus_other,first_48h,pm25_annual,2610,23,254,1.1589907040630543,0.9689249444004197,0.33356380240990974,2.814500677527549,0.9537299129710551,0.9537299129710551
