organism_category,exposure,n_hospitalizations,n_events,n_zctas,exposure_iqr,odds_ratio_per_iqr,ci_low,ci_high,p_value,fdr_p_value
klebsiella_pneumoniae,no2_annual,1179,93,156,3.233136368954,1.3981730585483385,0.9997465916404753,1.9553834121531313,0.050169139073822734,0.5495948862198293
legionella_sp,no2_annual,1179,169,156,3.233136368954,0.8141291794662732,0.650076331745602,1.0195822990180896,0.07327931816264391,0.5495948862198293
pseudomonas_aeruginosa,no2_annual,1179,194,156,3.233136368954,0.8438355210148983,0.6671366060703287,1.067335205484768,0.1566556821020706,0.783278410510353
proteus_mirabilis,no2_annual,1179,35,156,3.233136368954,1.324116254385568,0.8068111702884162,2.173103099826082,0.26669069196000955,0.8645780560956436
acinetobacter_baumanii,no2_annual,1179,41,156,3.233136368954,1.282237780889466,0.7815720490804233,2.103624008400487,0.324980972356028,0.8645780560956436
streptococcus_pneumoniae,no2_annual,1179,82,156,3.233136368954,1.1718604735601201,0.8184309256665012,1.6779143192496266,0.38651591077087366,0.8645780560956436
escherichia_coli,no2_annual,1179,57,156,3.233136368954,1.1448218049892862,0.7585281147006695,1.727842303770274,0.5195724222909139,0.8645780560956436
candida_glabrata,no2_annual,1179,31,156,3.233136368954,1.1323369952262183,0.6788219882782456,1.8888413942071351,0.6340239078034721,0.8645780560956436
stenotrophomonas_maltophilia,no2_annual,1179,39,156,3.233136368954,1.1296136221005109,0.7024122367383083,1.81663540083006,0.6151186166880696,0.8645780560956436
haemophilus_influenzae,no2_annual,1179,69,156,3.233136368954,1.1279285693190513,0.7934017518284819,1.603503968265943,0.5024253325173522,0.8645780560956436
candida_albicans,no2_annual,1179,165,156,3.233136368954,1.0812330871565183,0.8513479008635678,1.3731930126052696,0.5219093802562051,0.8645780560956436
fungus_other,no2_annual,1179,62,156,3.233136368954,1.037179273452955,0.7122532174824803,1.5103348344043952,0.8490123554257115,0.9871105826606885
staphylococcus_aureus,no2_annual,1179,389,156,3.233136368954,1.001552901695893,0.8296882802840972,1.2090181803604416,0.9871105826606885,0.9871105826606885
serratia_marcescens,no2_annual,1179,33,156,3.233136368954,0.9900451136616838,0.6247011426468685,1.569053200274773,0.966032482692651,0.9871105826606885
serratia_sp,no2_annual,1179,28,156,3.233136368954,0.9597577322543411,0.5929715463781355,1.5534217623902506,0.8672237342048443,0.9871105826606885
serratia_sp,o3_annual,1033,28,141,2.002059461105432,1.2564538677099415,0.7788524079052899,2.0269261616961476,0.3494514557389804,0.6968424673288469
serratia_marcescens,o3_annual,1033,32,141,2.002059461105432,1.2127954779957397,0.7602743379246774,1.934660685065288,0.4181054803973081,0.6968424673288469
legionella_sp,o3_annual,1033,169,141,2.002059461105432,1.1849178395819588,0.8766033066337623,1.6016712188220947,0.2698193709457725,0.6968424673288469
klebsiella_pneumoniae,o3_annual,1033,87,141,2.002059461105432,0.8092087926161506,0.5225030740139477,1.2532344834201083,0.3428400481506131,0.6968424673288469
fungus_other,o3_annual,1033,51,141,2.002059461105432,0.785268592613677,0.44376607586397193,1.3895761665533133,0.4064542842707369,0.6968424673288469
streptococcus_pneumoniae,o3_annual,1033,69,141,2.002059461105432,0.7455934469105723,0.43797622388930324,1.2692688729525472,0.2794484576366641,0.6968424673288469
escherichia_coli,o3_annual,1033,56,141,2.002059461105432,0.5844340871928068,0.3089910010585989,1.1054147243858186,0.09857746004981736,0.6968424673288469
acinetobacter_baumanii,o3_annual,1033,38,141,2.002059461105432,0.5768892976719614,0.21548383866826518,1.5444372247368052,0.27356625244921734,0.6968424673288469
stenotrophomonas_maltophilia,o3_annual,1033,32,141,2.002059461105432,0.4938421568128213,0.20939113092150655,1.1647106292050227,0.10702745365934255,0.6968424673288469
pseudomonas_aeruginosa,o3_annual,1033,163,141,2.002059461105432,1.0967855860605629,0.8033154952482863,1.4974672204205541,0.5609079841827067,0.8096350497373954
proteus_mirabilis,o3_annual,1033,34,141,2.002059461105432,0.8270736157045653,0.4116961779252357,1.6615426678040404,0.5937323698074234,0.8096350497373954
haemophilus_influenzae,o3_annual,1033,58,141,2.002059461105432,1.091679486084353,0.6813869511179662,1.749026890494519,0.7152919036172589,0.8601597886151716
staphylococcus_aureus,o3_annual,1033,334,141,2.002059461105432,0.9589465942089265,0.7445105424771171,1.2351451296919187,0.7454718167998154,0.8601597886151716
candida_albicans,o3_annual,1033,153,141,2.002059461105432,1.0360631382206553,0.7177025809096577,1.4956429793231472,0.8499821581113662,0.9106951694050353
candida_glabrata,o3_annual,1033,29,141,2.002059461105432,0.9800112690144847,0.4323724509378429,2.2212841852254113,0.9614265058380924,0.9614265058380924
acinetobacter_baumanii,pm25_annual,1033,38,141,1.0963334441184944,2.1333122173060164,0.8055544017210245,5.649551422950572,0.1272984021491756,0.8974835004646815
stenotrophomonas_maltophilia,pm25_annual,1033,32,141,1.0963334441184944,1.725939841420549,0.6195149654304958,4.808388017120455,0.2964671108167764,0.8974835004646815
candida_glabrata,pm25_annual,1033,29,141,1.0963334441184944,1.6228186980568746,0.3885026825332531,6.7786932887846865,0.5068268524332131,0.8974835004646815
streptococcus_pneumoniae,pm25_annual,1033,69,141,1.0963334441184944,1.4269654571321189,0.6952952820050134,2.9285836802695218,0.33240814852792633,0.8974835004646815
klebsiella_pneumoniae,pm25_annual,1033,87,141,1.0963334441184944,1.2775583043365568,0.7030888949085111,2.3214066283775985,0.4214585339268543,0.8974835004646815
proteus_mirabilis,pm25_annual,1033,34,141,1.0963334441184944,1.250562203136,0.4990812411573954,3.1335696374513837,0.63329993056222,0.8974835004646815
escherichia_coli,pm25_annual,1033,56,141,1.0963334441184944,1.2419106231146548,0.5758300593166472,2.6784673200898337,0.5806165564610088,0.8974835004646815
staphylococcus_aureus,pm25_annual,1033,334,141,1.0963334441184944,1.1759614679598782,0.8190351979558557,1.6884321669908091,0.3797883579876646,0.8974835004646815
candida_albicans,pm25_annual,1033,153,141,1.0963334441184944,1.1347991240213446,0.648099022982564,1.9869942805240988,0.6581545670074331,0.8974835004646815
legionella_sp,pm25_annual,1033,169,141,1.0963334441184944,0.7723478884073319,0.48784043553166534,1.2227794526240021,0.2704642088400482,0.8974835004646815
pseudomonas_aeruginosa,pm25_annual,1033,163,141,1.0963334441184944,0.710149179645321,0.46179452010102606,1.092069817633598,0.11902622588999334,0.8974835004646815
serratia_marcescens,pm25_annual,1033,32,141,1.0963334441184944,1.127787681950447,0.46632843466116475,2.7274876696792716,0.7895461801158873,0.9110148232106391
fungus_other,pm25_annual,1033,51,141,1.0963334441184944,1.1040372509634258,0.5385497312292075,2.2632974836563675,0.7869789615205951,0.9110148232106391
serratia_sp,pm25_annual,1033,28,141,1.0963334441184944,0.9354307090125085,0.3904607978333549,2.2410203949260463,0.8809682021786287,0.943894502334245
haemophilus_influenzae,pm25_annual,1033,58,141,1.0963334441184944,0.9892036178354383,0.5048030099442591,1.9384270265083592,0.9747701322440451,0.9747701322440451
