organism_category,n_shrf_hospitalizations_any_hosp
staphylococcus_aureus,462
candida_albicans,214
legionella_sp,157
pseudomonas_aeruginosa,143
klebsiella_pneumoniae,129
stenotrophomonas_maltophilia,77
escherichia_coli,73
haemophilus_influenzae,70
streptococcus_pneumoniae,65
enterobacter_cloacae,56
fungus_other,53
enterobacter_sp,49
proteus_mirabilis,44
candida_glabrata,42
acinetobacter_baumanii,40
serratia_marcescens,37
candida_tropicalis,32
klebsiella_aerogenes,31
serratia_sp,27
candida_dubliniensis,24
acinetobacter_pittii,16
moraxella_catarrhalis,16
klebsiella_oxytoca,15
citrobacter_koseri,14
achromobacter_xylosoxidans,13
enterobacter_aerogenes,13
aspergillus_fumigatus,12
haemophilus_haemolyticus,12
aspergillus_niger,10
candida_parapsilosis,9
gram_negative_rod,9
morganella_morganii,9
candida_krusei,8
aspergillus_flavus,6
citrobacter_freundii,6
penicillium_sp,5
acinetobacter_sp,4
aeromonas_sp,4
candida_lusitaniae,4
streptcoccus_agalactiae,4
alcaligenes_faecalis,3
bacteria_other,3
bordetella_bronchiseptica,3
elizabethkingia_meningoseptica,3
neisseria_meningitidis,3
pseudomonas_sp,3
raoultella_ornithinolytica,3
streptcoccus_pyogenes,3
yeast,3
acinetobacter_ursingii,2
aureobasidium_sp,2
burkholderia_gladioli,2
mycobacterium_avium,2
mycobacterium_xenopi,2
pantoea_agglomerans,2
proteus_penneri,2
proteus_vulgaris,2
providencia_rettgeri,2
pseudallescheria_boydii,2
pseudomonas_fluorescens,2
pseudomonas_putida,2
rhizopus_sp,2
saccharomyces_cerevisiae,2
streptococcus_agalactiae,2
streptococcus_pyogenes,2
achromobacter_sp,1
acinetobacter_johnsonii,1
acinetobacter_lwoffii,1
acinetobacter_radioresistens,1
aeromonas_hydrophila,1
aeromonas_sobria,1
aspergillus_terreus,1
blastomyces_dermatitidis,1
burkholderia_sp,1
candida_auris,1
candida_nivariensis,1
candida_pelliculosa,1
chryseobacterium_indologenes,1
chryseobacterium_sp,1
cladosporium_sp,1
cokeromyces_recurvatus,1
corynebacterium_striatum,1
cronobacter_malonaticus,1
cryptococcus_neoformans,1
cupriavidus_pauculus,1
enterococcus_faecalis,1
fusarium_sp,1
gram_positive_cocci,1
moraxella_sp,1
mycobacterium_tuberculosis,1
ochrobactrum_anthropi,1
ochrobactrum_sp,1
paecilomyces_sp,1
pantoea_sp,1
pasteurella_sp,1
providencia_sp,1
pseudomonas_oryzihabitans,1
pseudomonas_stutzeri,1
stenotrophomonas_rhizophila,1
streptococcus_alphahemolytic,1
streptococcus_salivarius,1
trichosporon_asahii,1
