outcome,exposure,n_hospitalizations,n_events,n_zctas,exposure_iqr,odds_ratio_per_iqr,ci_low,ci_high,p_value,fdr_p_value
any_positive_pulm_culture_48h,pm25_annual,2610,533,254,1.1589907040630543,1.076160425488532,0.8331021903179094,1.390131096577387,0.5741374587406114,0.5741374587406114
any_positive_pulm_culture_48h,o3_annual,2610,533,254,2.0200906871490574,0.916483427342093,0.7343990626454553,1.1437131599365984,0.44026750560087097,0.5741374587406114
any_positive_pulm_culture_48h,no2_annual,3063,610,282,3.4095800703010006,1.1011875013068362,0.9715383886361685,1.2481379297184985,0.13150314252532863,0.3945094275759859
